author:pa, total:   15
author:wn, total:   15
author:hy, total:   15
author:cu, total:   15
author:sd, total:   15
author:cr, total:   15
author:se, total:   15
author:we, total:   15
author:wo, total:   15
author:cd, total:   15
author:Ju, total:   15
author:pq, total:   15
author:wo, total:   15
author:Lo, total:   15
author:ko, total:   15
author:ko, total:   15
author:qk, total:   15
author:to, total:   14
author:le, total:   14
author:td, total:   14
author:fi, total:   14
author:au, total:   14
author:ra, total:   14
author:ra, total:   14
author:tr, total:   14
author:vi, total:   14
author:pp, total:   14
author:gr, total:   14
author:gk, total:   14
author:ls, total:   14
author:ch, total:   14
author:x2, total:   14
author:ro, total:   14
author:kn, total:   14
author:qn, total:   14
author:ki, total:   14
author:qo, total:   14
author:gh, total:   14
author:sw, total:   14
author:wc, total:   14
author:aq, total:   14
author:no, total:   14
author:la, total:   14
author:bl, total:   14
author:ru, total:   14
author:kk, total:   14
author:pl, total:   14
author:cl, total:   14
author:co, total:   14
author:lb, total:   14
author:zz, total:   14
author:ca, total:   14
author:aw, total:   14
author:yo, total:   14
author:Ju, total:   14
author:ze, total:   14
author:te, total:   14
author:ld, total:   13
author:ej, total:   13
author:el, total:   13
author:ik, total:   13
author:to, total:   13
author:ic, total:   13
author:cr, total:   13
author:be, total:   13
author:su, total:   13
author:to, total:   13
author:er, total:   13
author:ju, total:   13
author:yk, total:   13
author:uk, total:   13
author:k4, total:   13
author:va, total:   13
author:yu, total:   13
author:hy, total:   13
author:to, total:   13
author:ca, total:   13
author:js, total:   13
author:su, total:   13
author:pa, total:   13
author:hi, total:   13
author:is, total:   13
author:pa, total:   13
author:ki, total:   13
author:da, total:   13
author:ra, total:   13
author:my, total:   13
author:ne, total:   13
author:pt, total:   13
author:sc, total:   13
author:ry, total:   13
author:le, total:   13
author:ch, total:   13
author:bl, total:   13
author:vo, total:   13
author:me, total:   12
author:du, total:   12
author:gh, total:   12
author:He, total:   12
author:ai, total:   12
author:id, total:   12
author:gu, total:   12
author:pr, total:   12
author:kd, total:   12
author:ch, total:   12
author:go, total:   12
author:in, total:   12
author:de, total:   12
author:sh, total:   12
author:ba, total:   12
author:cu, total:   12
author:pt, total:   12
author:cr, total:   12
author:bs, total:   12
author:ga, total:   12
author:co, total:   12
author:yd, total:   12
author:to, total:   12
author:ph, total:   12
author:ga, total:   12
author:ze, total:   12
author:de, total:   12
author:mo, total:   12
author:mt, total:   12
author:Le, total:   12
author:Ra, total:   12
author:ho, total:   12
author:na, total:   12
author:fi, total:   12
author:bo, total:   12
author:co, total:   12
author:so, total:   12
author:tj, total:   12
author:io, total:   12
author:us, total:   12
author:mb, total:   12
author:Gi, total:   11
author:ea, total:   11
author:ky, total:   11
author:de, total:   11
author:fa, total:   11
author:sm, total:   11
author:ji, total:   11
author:yu, total:   11
author:fr, total:   11
author:in, total:   11
author:tw, total:   11
author:gu, total:   11
author:bl, total:   11
author:hy, total:   11
author:ba, total:   11
author:ju, total:   11
author:co, total:   11
author:ra, total:   11
author:sh, total:   11
author:sl, total:   11
author:pe, total:   11
author:as, total:   11
author:wt, total:   11
author:ze, total:   11
author:co, total:   11
author:op, total:   11
author:tg, total:   11
author:kh, total:   11
author:yo, total:   11
author:li, total:   11
author:ne, total:   11
author:so, total:   11
author:be, total:   11
author:cl, total:   11
author:in, total:   11
author:jj, total:   11
author:ju, total:   11
author:we, total:   11
author:el, total:   11
author:az, total:   11
author:le, total:   11
author:dd, total:   11
author:nu, total:   11
author:sg, total:   11
author:ap, total:   11
author:we, total:   11
author:fr, total:   11
author:ic, total:   11
author:sj, total:   11
author:pa, total:   11
author:ch, total:   11
author:sm, total:   11
author:to, total:   11
author:tp, total:   10
author:kw, total:   10
author:ta, total:   10
author:hu, total:   10
author:ze, total:   10
author:ki, total:   10
author:Ki, total:   10
author:ad, total:   10
author:ha, total:   10
author:qu, total:   10
author:ne, total:   10
author:mg, total:   10
author:de, total:   10
author:jh, total:   10
author:up, total:   10
author:re, total:   10
author:m5, total:   10
author:ai, total:   10
author:ho, total:   10
author:Ka, total:   10
author:as, total:   10
author:ji, total:   10
author:sc, total:   10
author:le, total:   10
author:pa, total:   10
author:po, total:   10
author:vm, total:   10
author:ic, total:   10
author:in, total:   10
author:di, total:   10
author:jj, total:   10
author:tp, total:   10
author:cl, total:   10
author:xp, total:   10
author:so, total:   10
author:re, total:   10
author:yu, total:   10
author:ju, total:   10
author:la, total:   10
author:xi, total:   10
author:el, total:   10
author:lk, total:   10
author:fm, total:   10
author:gg, total:   10
author:hy, total:   10
author:dk, total:   10
author:ma, total:   10
author:sa, total:   10
author:se, total:   10
author:kr, total:   10
author:sp, total:   10
author:gg, total:   10
author:ph, total:   10
author:yj, total:   10
author:zx, total:   10
author:ez, total:   10
author:ec, total:   10
author:ti, total:   10
author:ne, total:   10
author:la, total:   10
author:br, total:   10
author:tk, total:   10
author:as, total:   10
author:sd, total:    9
author:sr, total:    9
author:no, total:    9
author:ye, total:    9
author:po, total:    9
author:ab, total:    9
author:hi, total:    9
author:js, total:    9
author:mi, total:    9
author:hs, total:    9
author:mk, total:    9
author:sw, total:    9
author:er, total:    9
author:ge, total:    9
author:ex, total:    9
author:ko, total:    9
author:no, total:    9
author:si, total:    9
author:je, total:    9
author:la, total:    9
author:me, total:    9
author:ke, total:    9
author:co, total:    9
author:in, total:    9
author:22, total:    9
author:yh, total:    9
author:wd, total:    9
author:wo, total:    9
author:tw, total:    9
author:be, total:    9
author:go, total:    9
author:qm, total:    9
author:ar, total:    9
author:pa, total:    9
author:c3, total:    9
author:as, total:    9
author:tu, total:    9
author:ba, total:    9
author:sp, total:    9
author:ka, total:    9
author:br, total:    9
author:ku, total:    9
author:im, total:    9
author:ep, total:    9
author:ro, total:    9
author:ra, total:    9
author:ha, total:    9
author:da, total:    9
author:wo, total:    9
author:bo, total:    9
author:my, total:    9
author:cc, total:    9
author:ze, total:    9
author:is, total:    9
author:br, total:    9
author:ne, total:    9
author:gr, total:    9
author:ji, total:    9
author:be, total:    9
author:da, total:    9
author:is, total:    9
author:tv, total:    9
author:go, total:    9
author:jw, total:    9
author:jj, total:    9
author:li, total:    9
author:z4, total:    9
author:sa, total:    9
author:lo, total:    9
author:So, total:    9
author:ts, total:    9
author:je, total:    9
author:ca, total:    9
author:kk, total:    9
author:un, total:    9
author:nf, total:    9
author:re, total:    9
author:mi, total:    8
author:en, total:    8
author:ro, total:    8
author:tr, total:    8
author:kd, total:    8
author:sc, total:    8
author:jy, total:    8
author:ta, total:    8
author:ah, total:    8
author:cl, total:    8
author:fg, total:    8
author:oo, total:    8
author:ch, total:    8
author:me, total:    8
author:cl, total:    8
author:ju, total:    8
author:ro, total:    8
author:jj, total:    8
author:si, total:    8
author:sk, total:    8
author:ma, total:    8
author:in, total:    8
author:re, total:    8
author:ri, total:    8
author:sh, total:    8
author:ti, total:    8
author:mi, total:    8
author:cj, total:    8
author:ds, total:    8
author:ti, total:    8
author:de, total:    8
author:un, total:    8
author:si, total:    8
author:ss, total:    8
author:wk, total:    8
author:ha, total:    8
author:ko, total:    8
author:un, total:    8
author:pp, total:    8
author:ne, total:    8
author:fr, total:    8
author:ro, total:    8
author:zu, total:    8
author:ru, total:    8
author:sb, total:    8
author:os, total:    8
author:ho, total:    8
author:le, total:    8
author:pc, total:    8
author:re, total:    8
author:yo, total:    8
author:ne, total:    8
author:bl, total:    8
author:si, total:    8
author:ag, total:    8
author:cb, total:    8
author:xm, total:    8
author:ls, total:    8
author:ln, total:    8
author:jo, total:    8
author:da, total:    8
author:so, total:    8
author:pn, total:    8
author:ot, total:    8
author:ca, total:    8
author:st, total:    8
author:mi, total:    8
author:bu, total:    8
author:as, total:    8
author:ho, total:    8
author:ng, total:    8
author:me, total:    8
author:ze, total:    8
author:dl, total:    8
author:st, total:    8
author:mh, total:    8
author:pa, total:    8
author:no, total:    8
author:sw, total:    8
author:ge, total:    8
author:pr, total:    8
author:pe, total:    8
author:fo, total:    8
author:hu, total:    8
author:su, total:    8
author:f9, total:    8
author:ba, total:    8
author:kw, total:    8
author:tr, total:    8
author:ze, total:    8
author:mo, total:    8
author:pe, total:    8
author:to, total:    8
author:se, total:    8
author:rl, total:    8
author:ad, total:    8
author:sa, total:    8
author:oo, total:    8
author:re, total:    8
author:ja, total:    8
author:sk, total:    8
author:lu, total:    8
author:hy, total:    8
author:wh, total:    8
author:to, total:    8
author:di, total:    8
author:kn, total:    7
author:fa, total:    7
author:pi, total:    7
author:do, total:    7
author:su, total:    7
author:ko, total:    7
author:cr, total:    7
author:re, total:    7
author:fl, total:    7
author:zh, total:    7
author:eo, total:    7
author:wq, total:    7
author:ph, total:    7
author:ko, total:    7
author:pr, total:    7
author:re, total:    7
author:zo, total:    7
author:ac, total:    7
author:ip, total:    7
author:to, total:    7
author:ep, total:    7
author:fr, total:    7
author:ko, total:    7
author:hu, total:    7
author:pp, total:    7
author:se, total:    7
author:nd, total:    7
author:yy, total:    7
author:sh, total:    7
author:da, total:    7
author:pe, total:    7
author:ym, total:    7
author:xn, total:    7
author:eh, total:    7
author:cy, total:    7
author:ha, total:    7
author:ne, total:    7
author:ha, total:    7
author:qk, total:    7
author:da, total:    7
author:cl, total:    7
author:ga, total:    7
author:cr, total:    7
author:hy, total:    7
author:go, total:    7
author:mi, total:    7
author:ba, total:    7
author:il, total:    7
author:el, total:    7
author:ne, total:    7
author:sd, total:    7
author:jy, total:    7
author:he, total:    7
author:sp, total:    7
author:hy, total:    7
author:gs, total:    7
author:hh, total:    7
author:ma, total:    7
author:st, total:    7
author:gm, total:    7
author:cr, total:    7
author:dd, total:    7
author:no, total:    7
author:sc, total:    7
author:qa, total:    7
author:ki, total:    7
author:da, total:    7
author:ez, total:    7
author:ph, total:    7
author:sp, total:    7
author:we, total:    7
author:bl, total:    7
author:an, total:    7
author:mo, total:    7
author:ha, total:    7
author:db, total:    7
author:re, total:    7
author:sy, total:    7
author:te, total:    7
author:lo, total:    7
author:hm, total:    7
author:hs, total:    7
author:el, total:    7
author:al, total:    7
author:kk, total:    7
author:bl, total:    7
author:sh, total:    7
author:so, total:    7
author:an, total:    7
author:so, total:    7
author:nx, total:    7
author:ai, total:    7
author:to, total:    7
author:ta, total:    7
author:se, total:    7
author:gy, total:    7
author:bo, total:    7
author:da, total:    7
author:ha, total:    7
author:li, total:    7
author:an, total:    7
author:ks, total:    7
author:ta, total:    7
author:sk, total:    7
author:po, total:    7
author:po, total:    7
author:gd, total:    7
author:ma, total:    7
author:sw, total:    7
author:de, total:    7
author:cy, total:    7
author:ce, total:    7
author:ji, total:    7
author:ql, total:    7
author:ro, total:    7
author:di, total:    7
author:sa, total:    7
author:to, total:    7
author:in, total:    7
author:kk, total:    7
author:ha, total:    7
author:sk, total:    7
author:wa, total:    7
author:ep, total:    7
author:go, total:    7
author:zz, total:    7
author:ra, total:    7
author:sh, total:    7
author:mo, total:    7
author:ss, total:    6
author:zj, total:    6
author:gw, total:    6
author:ra, total:    6
author:kd, total:    6
author:si, total:    6
author:wl, total:    6
author:gr, total:    6
author:ir, total:    6
author:ca, total:    6
author:iz, total:    6
author:av, total:    6
author:ch, total:    6
author:mo, total:    6
author:cl, total:    6
author:pr, total:    6
author:ou, total:    6
author:jo, total:    6
author:ta, total:    6
author:th, total:    6
author:in, total:    6
author:kd, total:    6
author:tn, total:    6
author:ww, total:    6
author:lu, total:    6
author:do, total:    6
author:ha, total:    6
author:sn, total:    6
author:pj, total:    6
author:am, total:    6
author:ji, total:    6
author:ba, total:    6
author:bu, total:    6
author:aw, total:    6
author:ko, total:    6
author:ma, total:    6
author:ju, total:    6
author:so, total:    6
author:ji, total:    6
author:so, total:    6
author:in, total:    6
author:ra, total:    6
author:me, total:    6
author:we, total:    6
author:im, total:    6
author:eu, total:    6
author:yd, total:    6
author:pu, total:    6
author:pa, total:    6
author:hi, total:    6
author:va, total:    6
author:co, total:    6
author:em, total:    6
author:ca, total:    6
author:au, total:    6
author:li, total:    6
author:kp, total:    6
author:gu, total:    6
author:eo, total:    6
author:na, total:    6
author:dr, total:    6
author:qk, total:    6
author:li, total:    6
author:dl, total:    6
author:ki, total:    6
author:cy, total:    6
author:f9, total:    6
author:mo, total:    6
author:wo, total:    6
author:ki, total:    6
author:na, total:    6
author:le, total:    6
author:li, total:    6
author:mu, total:    6
author:sf, total:    6
author:in, total:    6
author:he, total:    6
author:sl, total:    6
author:lo, total:    6
author:zy, total:    6
author:te, total:    6
author:ev, total:    6
author:hs, total:    6
author:pu, total:    6
author:oa, total:    6
author:zo, total:    6
author:yo, total:    6
author:po, total:    6
author:rl, total:    6
author:ro, total:    6
author:no, total:    6
author:fo, total:    6
author:sk, total:    6
author:hk, total:    6
author:ej, total:    6
author:gy, total:    6
author:pe, total:    6
author:pi, total:    6
author:fi, total:    6
author:dn, total:    6
author:up, total:    6
author:pi, total:    6
author:sv, total:    6
author:kd, total:    6
author:pi, total:    6
author:jn, total:    6
author:ch, total:    6
author:ia, total:    6
author:gr, total:    6
author:fl, total:    6
author:du, total:    6
author:su, total:    6
author:mo, total:    6
author:do, total:    6
author:cu, total:    6
author:bs, total:    6
author:ar, total:    6
author:jo, total:    6
author:zt, total:    6
author:ac, total:    6
author:ra, total:    6
author:sh, total:    6
author:KE, total:    6
author:su, total:    6
author:go, total:    6
author:ai, total:    6
author:fa, total:    6
author:Sa, total:    6
author:hi, total:    6
author:al, total:    6
author:o0, total:    6
author:lo, total:    6
author:jt, total:    6
author:ho, total:    6
author:mi, total:    6
author:Na, total:    6
author:ju, total:    6
author:el, total:    6
author:wi, total:    6
author:ks, total:    6
author:gu, total:    6
author:ne, total:    6
author:hy, total:    6
author:an, total:    6
author:tr, total:    6
author:dl, total:    6
author:st, total:    6
author:ve, total:    6
author:co, total:    6
author:km, total:    6
author:po, total:    6
author:nu, total:    6
author:pa, total:    6
author:fr, total:    6
author:al, total:    6
author:hu, total:    6
author:dr, total:    6
author:la, total:    6
author:et, total:    6
author:go, total:    5
author:lg, total:    5
author:ww, total:    5
author:dr, total:    5
author:ns, total:    5
author:se, total:    5
author:ri, total:    5
author:sl, total:    5
author:cl, total:    5
author:dr, total:    5
author:py, total:    5
author:la, total:    5
author:mo, total:    5
author:th, total:    5
author:wo, total:    5
author:ji, total:    5
author:mi, total:    5
author:le, total:    5
author:wi, total:    5
author:jm, total:    5
author:ko, total:    5
author:hy, total:    5
author:nu, total:    5
author:sf, total:    5
author:wh, total:    5
author:ol, total:    5
author:my, total:    5
author:ys, total:    5
author:oh, total:    5
author:da, total:    5
author:ja, total:    5
author:se, total:    5
author:sw, total:    5
author:ms, total:    5
author:ph, total:    5
author:ko, total:    5
author:ku, total:    5
author:di, total:    5
author:ls, total:    5
author:10, total:    5
author:la, total:    5
author:r3, total:    5
author:st, total:    5
author:no, total:    5
author:hy, total:    5
author:se, total:    5
author:du, total:    5
author:am, total:    5
author:hi, total:    5
author:dj, total:    5
author:ko, total:    5
author:jy, total:    5
author:dx, total:    5
author:n_, total:    5
author:on, total:    5
author:sg, total:    5
author:us, total:    5
author:ju, total:    5
author:mi, total:    5
author:ev, total:    5
author:ki, total:    5
author:fg, total:    5
author:ht, total:    5
author:ta, total:    5
author:sk, total:    5
author:st, total:    5
author:98, total:    5
author:ta, total:    5
author:tv, total:    5
author:po, total:    5
author:gu, total:    5
author:ha, total:    5
author:ki, total:    5
author:jj, total:    5
author:ga, total:    5
author:de, total:    5
author:tr, total:    5
author:no, total:    5
author:dd, total:    5
author:ch, total:    5
author:ho, total:    5
author:ss, total:    5
author:qo, total:    5
author:jy, total:    5
author:ur, total:    5
author:re, total:    5
author:li, total:    5
author:sk, total:    5
author:to, total:    5
author:so, total:    5
author:ki, total:    5
author:ji, total:    5
author:fr, total:    5
author:us, total:    5
author:su, total:    5
author:bj, total:    5
author:hd, total:    5
author:fi, total:    5
author:na, total:    5
author:kj, total:    5
author:me, total:    5
author:pu, total:    5
author:ta, total:    5
author:nb, total:    5
author:sa, total:    5
author:ky, total:    5
author:lf, total:    5
author:ed, total:    5
author:ta, total:    5
author:wi, total:    5
author:iw, total:    5
author:da, total:    5
author:pr, total:    5
author:py, total:    5
author:la, total:    5
author:mi, total:    5
author:ab, total:    5
author:li, total:    5
author:wn, total:    5
author:pi, total:    5
author:ss, total:    5
author:p0, total:    5
author:sa, total:    5
author:oh, total:    5
author:ad, total:    5
author:al, total:    5
author:ar, total:    5
author:ko, total:    5
author:yo, total:    5
author:st, total:    5
author:ta, total:    5
author:da, total:    5
author:du, total:    5
author:wa, total:    5
author:bl, total:    5
author:pa, total:    5
author:2a, total:    5
author:al, total:    5
author:mb, total:    5
author:me, total:    5
author:ea, total:    5
author:cr, total:    5
author:je, total:    5
author:de, total:    5
author:ly, total:    5
author:wa, total:    5
author:se, total:    5
author:ra, total:    5
author:pl, total:    5
author:jj, total:    5
author:kt, total:    5
author:wo, total:    5
author:fo, total:    5
author:sa, total:    5
