author:42, total:   22
author:ga, total:   22
author:ba, total:   22
author:su, total:   22
author:lj, total:   22
author:hi, total:   22
author:ro, total:   22
author:bo, total:   22
author:ra, total:   22
author:up, total:   21
author:ms, total:   21
author:oo, total:   21
author:qu, total:   21
author:ba, total:   21
author:mb, total:   21
author:sp, total:   21
author:na, total:   21
author:sa, total:   21
author:po, total:   21
author:sd, total:   21
author:cr, total:   21
author:co, total:   21
author:ca, total:   21
author:ju, total:   21
author:un, total:   21
author:lo, total:   21
author:ko, total:   21
author:gk, total:   21
author:ge, total:   21
author:re, total:   21
author:de, total:   21
author:ru, total:   20
author:bi, total:   20
author:13, total:   20
author:yo, total:   20
author:pe, total:   20
author:mo, total:   20
author:cl, total:   20
author:ro, total:   20
author:Kx, total:   20
author:eu, total:   20
author:so, total:   20
author:qm, total:   20
author:gu, total:   20
author:ex, total:   20
author:sh, total:   20
author:zi, total:   20
author:my, total:   20
author:de, total:   20
author:ni, total:   19
author:dj, total:   19
author:no, total:   19
author:sp, total:   19
author:ca, total:   19
author:yo, total:   19
author:ko, total:   19
author:pp, total:   19
author:sl, total:   19
author:da, total:   19
author:we, total:   19
author:ba, total:   19
author:bl, total:   19
author:ac, total:   19
author:sw, total:   19
author:be, total:   19
author:ra, total:   19
author:le, total:   19
author:mg, total:   19
author:sn, total:   19
author:ms, total:   19
author:2u, total:   19
author:ch, total:   19
author:va, total:   18
author:he, total:   18
author:re, total:   18
author:so, total:   18
author:my, total:   18
author:sh, total:   18
author:mo, total:   18
author:th, total:   18
author:sd, total:   18
author:br, total:   18
author:ri, total:   18
author:fa, total:   18
author:ad, total:   18
author:sh, total:   18
author:ji, total:   18
author:il, total:   18
author:br, total:   18
author:pa, total:   18
author:be, total:   18
author:ca, total:   18
author:ma, total:   18
author:no, total:   18
author:ju, total:   18
author:in, total:   17
author:na, total:   17
author:my, total:   17
author:ar, total:   17
author:kk, total:   17
author:mf, total:   17
author:cl, total:   17
author:sh, total:   17
author:ch, total:   17
author:de, total:   17
author:hl, total:   17
author:ne, total:   17
author:vk, total:   17
author:li, total:   17
author:pe, total:   17
author:se, total:   17
author:Ju, total:   17
author:le, total:   17
author:ap, total:   17
