author:kok, total:   11
author:int, total:   11
author:fod, total:   11
author:ruc, total:   11
author:vad, total:   11
author:sun, total:   11
author:jjh, total:   11
author:hyo, total:   11
author:did, total:   11
author:ldi, total:   11
author:jy8, total:   11
author:sun, total:   11
author:won, total:   11
author:tod, total:   11
author:vkt, total:   11
author:con, total:   11
author:ddu, total:   10
author:dkf, total:   10
author:jb0, total:   10
author:hug, total:   10
author:dre, total:   10
author:kms, total:   10
author:blu, total:   10
author:den, total:   10
author:gks, total:   10
author:zen, total:   10
author:apt, total:   10
author:lij, total:   10
author:KEs, total:   10
author:vmf, total:   10
author:swe, total:   10
author:seo, total:   10
author:tab, total:   10
author:aio, total:   10
author:kns, total:   10
author:cap, total:   10
author:lov, total:   10
author:hae, total:   10
author:x23, total:   10
author:sop, total:   10
author:hel, total:   10
author:run, total:   10
author:ben, total:   10
author:tas, total:   10
author:san, total:   10
author:jah, total:   10
author:sik, total:   10
author:fr3, total:   10
author:ghk, total:   10
author:sam, total:   10
author:2uo, total:   10
author:tin, total:   10
author:cur, total:   10
author:tod, total:   10
author:aps, total:   10
author:c33, total:   10
author:sad, total:   10
author:ges, total:   10
author:lif, total:   10
author:wao, total:   10
author:poo, total:   10
author:jzs, total:   10
author:eme, total:   10
author:sco, total:   10
author:ben, total:   10
author:swh, total:   10
author:tch, total:   10
author:luc, total:   10
author:nou, total:   10
author:che, total:   10
author:lut, total:   10
author:coo, total:   10
author:whi, total:   10
author:ina, total:   10
author:the, total:   10
author:dla, total:   10
author:bab, total:   10
author:kox, total:    9
author:f96, total:    9
author:isa, total:    9
author:BKC, total:    9
author:nun, total:    9
author:dic, total:    9
author:duo, total:    9
author:lso, total:    9
author:qor, total:    9
author:tel, total:    9
author:cjd, total:    9
author:shu, total:    9
author:ch5, total:    9
author:zhu, total:    9
author:vaa, total:    9
author:ngc, total:    9
author:mar, total:    9
author:jn2, total:    9
author:alb, total:    9
author:mbc, total:    9
author:red, total:    9
author:jun, total:    9
author:spa, total:    9
author:pet, total:    9
author:hhb, total:    9
author:kis, total:    9
author:sim, total:    9
author:jsd, total:    9
author:srb, total:    9
author:inm, total:    9
author:ez2, total:    9
author:sin, total:    9
author:sla, total:    9
author:blo, total:    9
author:xnw, total:    9
author:tru, total:    9
author:zel, total:    9
author:got, total:    9
author:now, total:    9
author:jun, total:    9
author:gor, total:    9
author:boo, total:    9
author:hyu, total:    9
author:kka, total:    9
author:tar, total:    9
author:not, total:    9
author:hoo, total:    9
author:opy, total:    9
author:421, total:    9
author:wth, total:    9
author:dis, total:    9
author:dac, total:    9
author:xiy, total:    9
author:len, total:    9
author:sun, total:    9
author:faf, total:    9
author:guy, total:    9
author:hmk, total:    9
author:siu, total:    9
author:amo, total:    9
author:gol, total:    9
author:soo, total:    9
author:jav, total:    9
author:bet, total:    9
author:hat, total:    9
author:rao, total:    9
author:tre, total:    9
author:th2, total:    8
author:byl, total:    8
author:ton, total:    8
author:cl2, total:    8
author:sil, total:    8
author:org, total:    8
author:yle, total:    8
author:ash, total:    8
author:wal, total:    8
author:eja, total:    8
author:hij, total:    8
author:nep, total:    8
author:era, total:    8
author:lee, total:    8
author:sky, total:    8
author:bay, total:    8
author:ko_, total:    8
author:des, total:    8
author:res, total:    8
author:rai, total:    8
author:tpe, total:    8
author:flu, total:    8
author:tru, total:    8
author:lik, total:    8
author:gra, total:    8
author:ndo, total:    8
author:aqu, total:    8
author:pat, total:    8
author:apr, total:    8
author:gis, total:    8
author:kic, total:    8
author:dye, total:    8
author:sep, total:    8
author:stw, total:    8
author:pop, total:    8
author:fml, total:    8
author:acl, total:    8
author:mo8, total:    8
author:cha, total:    8
author:Kin, total:    8
author:lcb, total:    8
author:cof, total:    8
author:del, total:    8
author:tos, total:    8
author:sup, total:    8
author:xld, total:    8
author:his, total:    8
author:mox, total:    8
author:skt, total:    8
author:cei, total:    8
author:fre, total:    8
author:new, total:    8
author:mhn, total:    8
author:hyc, total:    8
author:zen, total:    8
author:new, total:    8
author:kse, total:    8
author:ssh, total:    8
author:dec, total:    8
author:lee, total:    8
author:sca, total:    8
author:cer, total:    8
author:ken, total:    8
author:ktl, total:    8
author:khg, total:    8
author:thi, total:    8
author:jub, total:    8
author:shi, total:    8
author:got, total:    8
author:wch, total:    8
author:cul, total:    8
author:dar, total:    8
author:kyy, total:    8
author:hwa, total:    8
author:kai, total:    8
author:juy, total:    8
author:ins, total:    8
author:hip, total:    7
author:tan, total:    7
author:kim, total:    7
author:djg, total:    7
author:gdo, total:    7
author:ava, total:    7
author:blo, total:    7
author:tak, total:    7
author:paz, total:    7
author:kj9, total:    7
author:ung, total:    7
author:pig, total:    7
author:ben, total:    7
author:sun, total:    7
author:joj, total:    7
author:jsj, total:    7
author:pan, total:    7
author:gex, total:    7
author:asu, total:    7
author:neo, total:    7
author:lyc, total:    7
author:nic, total:    7
author:lkt, total:    7
author:omy, total:    7
author:dkd, total:    7
author:gen, total:    7
author:yuy, total:    7
author:ini, total:    7
author:sta, total:    7
author:gus, total:    7
author:cyb, total:    7
author:oly, total:    7
author:idi, total:    7
author:doo, total:    7
author:ned, total:    7
author:gun, total:    7
author:sco, total:    7
author:ppa, total:    7
author:meg, total:    7
author:Box, total:    7
author:dar, total:    7
author:kbs, total:    7
author:jin, total:    7
author:kut, total:    7
author:jer, total:    7
author:koa, total:    7
author:alf, total:    7
author:spw, total:    7
author:roz, total:    7
author:kst, total:    7
author:hse, total:    7
author:ves, total:    7
author:sup, total:    7
author:aga, total:    7
author:jun, total:    7
author:ket, total:    7
author:abc, total:    7
author:alt, total:    7
author:rey, total:    7
author:cha, total:    7
author:tro, total:    7
author:unf, total:    7
author:jam, total:    7
author:max, total:    7
author:sji, total:    7
author:hut, total:    7
author:lem, total:    7
author:dla, total:    7
author:san, total:    7
author:red, total:    7
author:mis, total:    7
author:dkd, total:    7
author:pj5, total:    7
author:hsm, total:    7
author:lal, total:    7
author:idi, total:    7
author:nir, total:    7
author:ear, total:    7
author:wea, total:    7
author:tae, total:    7
author:hid, total:    7
author:dar, total:    7
author:min, total:    7
author:roo, total:    7
author:gog, total:    7
author:top, total:    7
author:iso, total:    7
author:adi, total:    7
author:phz, total:    7
author:hdk, total:    7
author:eul, total:    7
author:eck, total:    7
author:kor, total:    7
author:sik, total:    7
author:soa, total:    7
author:sop, total:    7
author:chu, total:    7
author:jaz, total:    7
author:cro, total:    7
author:hsd, total:    7
author:cho, total:    7
author:bal, total:    7
author:jhk, total:    7
author:hiv, total:    7
author:the, total:    7
author:sin, total:    7
author:hya, total:    7
author:ank, total:    7
author:dlq, total:    7
author:zeh, total:    7
author:kom, total:    7
author:bor, total:    7
author:clu, total:    7
author:dim, total:    7
author:san, total:    7
author:xge, total:    6
author:str, total:    6
author:psw, total:    6
author:sir, total:    6
author:hym, total:    6
author:yur, total:    6
author:ckm, total:    6
author:nes, total:    6
author:boc, total:    6
author:hsh, total:    6
author:cam, total:    6
author:hye, total:    6
author:p01, total:    6
author:kon, total:    6
author:the, total:    6
author:new, total:    6
author:qkt, total:    6
author:tea, total:    6
author:min, total:    6
author:hwa, total:    6
author:mj2, total:    6
author:pap, total:    6
author:nag, total:    6
author:mun, total:    6
author:jjj, total:    6
author:mis, total:    6
author:ton, total:    6
author:twe, total:    6
author:ast, total:    6
author:N2b, total:    6
author:lao, total:    6
author:say, total:    6
author:mnp, total:    6
author:blo, total:    6
author:wwt, total:    6
author:rav, total:    6
author:elw, total:    6
author:jin, total:    6
author:dae, total:    6
author:jea, total:    6
author:cra, total:    6
author:ojw, total:    6
author:sjk, total:    6
author:lov, total:    6
author:jd9, total:    6
author:wet, total:    6
author:adm, total:    6
author:bro, total:    6
author:mou, total:    6
author:ptc, total:    6
author:hip, total:    6
author:nut, total:    6
author:fil, total:    6
author:mir, total:    6
author:fre, total:    6
author:pee, total:    6
author:sun, total:    6
author:hin, total:    6
author:reo, total:    6
author:awo, total:    6
author:coo, total:    6
author:bra, total:    6
author:tot, total:    6
author:kwj, total:    6
author:tok, total:    6
author:cha, total:    6
author:rus, total:    6
author:zz3, total:    6
author:har, total:    6
author:tae, total:    6
author:2ar, total:    6
author:qwj, total:    6
author:aer, total:    6
author:roo, total:    6
author:per, total:    6
author:qkq, total:    6
author:tbd, total:    6
author:joj, total:    6
author:kyu, total:    6
author:jsg, total:    6
author:und, total:    6
author:clo, total:    6
author:add, total:    6
author:fre, total:    6
author:sbr, total:    6
author:pra, total:    6
author:rai, total:    6
author:gom, total:    6
author:han, total:    6
author:end, total:    6
author:wys, total:    6
author:tom, total:    6
author:sla, total:    6
author:ykj, total:    6
author:map, total:    6
author:jin, total:    6
author:the, total:    6
author:cod, total:    6
author:abc, total:    6
author:rar, total:    6
author:yao, total:    6
author:yj0, total:    6
author:cho, total:    6
author:uni, total:    6
author:lov, total:    6
author:ble, total:    6
author:qkr, total:    6
author:adr, total:    6
author:fir, total:    6
author:hyu, total:    6
author:cyu, total:    6
author:yam, total:    6
author:car, total:    6
author:fri, total:    6
author:sol, total:    6
author:inp, total:    6
author:bar, total:    6
author:wes, total:    6
author:bri, total:    6
author:sko, total:    6
author:jus, total:    6
author:ica, total:    6
author:ymk, total:    6
author:bjk, total:    6
author:pyr, total:    6
author:xxm, total:    6
author:ukj, total:    6
author:mad, total:    6
author:KMS, total:    6
author:mar, total:    6
author:mia, total:    6
author:neo, total:    6
author:m5n, total:    6
author:shi, total:    6
author:abc, total:    6
author:jon, total:    6
author:pat, total:    6
author:per, total:    6
author:luc, total:    6
author:en_, total:    6
author:kok, total:    6
author:wog, total:    6
author:tic, total:    6
author:two, total:    6
author:ypc, total:    6
author:lov, total:    6
author:hdp, total:    5
author:jin, total:    5
author:sly, total:    5
author:par, total:    5
author:spy, total:    5
author:rai, total:    5
author:cap, total:    5
author:lef, total:    5
author:mor, total:    5
author:spo, total:    5
author:st2, total:    5
author:zer, total:    5
author:san, total:    5
author:pit, total:    5
author:kjh, total:    5
author:nex, total:    5
author:jun, total:    5
author:ccn, total:    5
author:tot, total:    5
author:ppp, total:    5
author:hel, total:    5
author:cri, total:    5
author:sfc, total:    5
author:yjr, total:    5
author:ill, total:    5
author:veg, total:    5
author:gys, total:    5
author:ma2, total:    5
author:hee, total:    5
author:now, total:    5
author:cha, total:    5
author:roo, total:    5
author:imy, total:    5
author:bad, total:    5
author:kid, total:    5
author:suc, total:    5
author:eff, total:    5
author:met, total:    5
author:kai, total:    5
author:ysb, total:    5
author:sun, total:    5
author:dea, total:    5
author:tra, total:    5
author:sol, total:    5
author:b3m, total:    5
author:wil, total:    5
author:bl4, total:    5
author:hmj, total:    5
author:tui, total:    5
author:gic, total:    5
author:dor, total:    5
author:wal, total:    5
author:hem, total:    5
author:hsn, total:    5
author:can, total:    5
author:ame, total:    5
author:roy, total:    5
author:dum, total:    5
author:cok, total:    5
